id;display_name;notes;start_date;frequency_id;created_by;last_modified_by
1;Acetaminophen;Acetaminophen notes;2023-04-27;1;system;system
2;Lexapro;Lexapro notes;2023-04-01;2;system;system
3;Otezla;Otezla notes;2023-04-27;3;system;system
4;Doxycycline;Doxycycline notes;2023-04-26;4;system;system
5;Lofexidine;Lofexidine notes;2023-04-27;5;system;system
6;Otrivin;Otrivin notes;2023-04-15;6;system;system
7;Aclovate Cream;clovate Cream notes;2023-04-10;7;system;system
8;TYLENOL;TYLENOL notes;2023-04-27;8;system;system
9;Nystatin;Nystatin notes;2023-04-27;9;system;system
10;DesOwen;DesOwen notes;2023-04-27;10;system;system
